Major groups of PIDs	Subgroups of PIDs	Disease	Gene	Inheritance	OMIM number	GDI-Phred
II. Combined immunodeficiencies with associated or syndromic features	DNA repair defects	Immunodeficiency with centromeric instability and facial anomalies (ICF)	ZBTB24	AR	242860	4.12229
II. Combined immunodeficiencies with associated or syndromic features	DNA repair defects	PMS2 Deficiency 	PMS2	AR	600259	5.54211
II. Combined immunodeficiencies with associated or syndromic features	DNA repair defects	RNF168 deficiency	RNF168	AR	611943	7.27250
II. Combined immunodeficiencies with associated or syndromic features	DNA repair defects	MCM4 deficiency 	MCM4	AR	609981	2.23027
II. Combined immunodeficiencies with associated or syndromic features	Thymic defects with additional congenital anomalies	DiGeorge anomaly 	TBX1	AD	188400	7.92600
II. Combined immunodeficiencies with associated or syndromic features	Thymic defects with additional congenital anomalies	CHARGE syndrome	CHD7	AD	214800	4.76744
II. Combined immunodeficiencies with associated or syndromic features	Thymic defects with additional congenital anomalies	CHARGE syndrome	SEMA3E	AD	608892	6.21822
II. Combined immunodeficiencies with associated or syndromic features	Immune-osseous dysplasias        	Cartilage hair hypoplasia	RMRP	AR	250250	NA
II. Combined immunodeficiencies with associated or syndromic features	Immune-osseous dysplasias        	Schimke syndrome	SMARCAL1	AR	242900	6.17659
II. Combined immunodeficiencies with associated or syndromic features	Hyper-IgE syndromes (HIES)	AD-HIES (Job’s Syndrome)	STAT3	AD	147060	1.52170
II. Combined immunodeficiencies with associated or syndromic features	Hyper-IgE syndromes (HIES)	Tyk2 deficiency	TYK2	AR	611521	7.41708
II. Combined immunodeficiencies with associated or syndromic features	Hyper-IgE syndromes (HIES)	DOCK8 deficiency	DOCK8	AR	243700	18.28926
II. Combined immunodeficiencies with associated or syndromic features	Dyskeratosis congenital (DKC)	XL-DKC 	DKC1	XL	305000	1.74518
II. Combined immunodeficiencies with associated or syndromic features	Dyskeratosis congenital (DKC)	AR-DKC due to NHP2 deficiency	NHP2	AR	613987	0.85525
II. Combined immunodeficiencies with associated or syndromic features	Dyskeratosis congenital (DKC)	AR-DKC due to NOP10 deficiency	NOP10	AR	224230	0.64158
II. Combined immunodeficiencies with associated or syndromic features	Dyskeratosis congenital (DKC)	AR-DKC due to RTEL1 deficiency	RTEL1	AR	608833	6.80132
II. Combined immunodeficiencies with associated or syndromic features	Dyskeratosis congenital (DKC)	AD-DKC due to TERC deficiency	TERC	AD	127550	NA
II. Combined immunodeficiencies with associated or syndromic features	Dyskeratosis congenital (DKC)	AD-DKC due to TERT deficiency	TERT	AD	614742	1.50879
II. Combined immunodeficiencies with associated or syndromic features	Dyskeratosis congenital (DKC)	AD-DKC due to TINF2 deficiency	TINF2	AD	613990	3.49366
II. Combined immunodeficiencies with associated or syndromic features	Defects of Vitamin B12 and Folate metabolism	TCN2 deficiency	TCN2	AR	275350	8.06455
II. Combined immunodeficiencies with associated or syndromic features	Defects of Vitamin B12 and Folate metabolism	SLC46A1 deficiency	SLC46A1	AR	229050	1.55461
II. Combined immunodeficiencies with associated or syndromic features	Defects of Vitamin B12 and Folate metabolism	MTHFD1 deficiency	MTHFD1	AR	Not assigned	10.16705
II. Combined immunodeficiencies with associated or syndromic features	Comel-Netherton Syndrome	NA	SPINK5	AR	256500	29.29597
II. Combined immunodeficiencies with associated or syndromic features	Winged helix deficiency (Nude)	NA	FOXN1	AR	600838	9.08407
II. Combined immunodeficiencies with associated or syndromic features	ORAI-I deficiency	NA	ORAI1	AR	610277	1.00209
II. Combined immunodeficiencies with associated or syndromic features	STIM1 deficiency	NA	STIM1	AR	605921	3.30996
II. Combined immunodeficiencies with associated or syndromic features	STAT5b deficiency	NA	STAT5B	AR	245590	1.31577
II. Combined immunodeficiencies with associated or syndromic features	1Hepatic veno-occlusive disease with immunodeficiency (VODI)	NA	SP110	AR	235550	7.12571
II. Combined immunodeficiencies with associated or syndromic features	IKAROS deficiency	NA	IKZF1	AD	Not assigned	0.70589
II. Combined immunodeficiencies with associated or syndromic features	FILS syndrome	NA	POLE	AR	615139	8.98803
II. Combined immunodeficiencies with associated or syndromic features	Immunodeficiency with multiple intestinal atresias	NA	TTC7A	AR	243150	7.40607
III. Predominantly antibody deficiencies	Severe reduction in all serum immunoglobulin isotypes with profoundly decreased or absent B cells	BTK deficiency	BTK	XL	300300	0.41735
III. Predominantly antibody deficiencies	Severe reduction in all serum immunoglobulin isotypes with profoundly decreased or absent B cells	? heavy chain deficiency	IGHM	AR	147020	NA
III. Predominantly antibody deficiencies	Severe reduction in all serum immunoglobulin isotypes with profoundly decreased or absent B cells	l5 deficiency	IGLL1	AR	146770	4.83519
III. Predominantly antibody deficiencies	Severe reduction in all serum immunoglobulin isotypes with profoundly decreased or absent B cells	Ig? deficiency	CD79A	AR	112205	1.30856
III. Predominantly antibody deficiencies	Severe reduction in all serum immunoglobulin isotypes with profoundly decreased or absent B cells	Ig? deficiency	CD79B	AR	147245	0.33550
III. Predominantly antibody deficiencies	Severe reduction in all serum immunoglobulin isotypes with profoundly decreased or absent B cells	BLNK deficiency	BLNK	AR	604615	1.97448
III. Predominantly antibody deficiencies	Severe reduction in all serum immunoglobulin isotypes with profoundly decreased or absent B cells	PI3 kinase deficiency	PIK3R1	AR	171833	8.50101
III. Predominantly antibody deficiencies	Severe reduction in all serum immunoglobulin isotypes with profoundly decreased or absent B cells	E47 transcription factor deficiency	TCF3	AD	147141	6.18027
III. Predominantly antibody deficiencies	Severe reduction in at least 2 serum immunoglobulin isotypes  with normal or low number of B cells	ICOS deficiency	ICOS	AR	604558	1.51225
III. Predominantly antibody deficiencies	Severe reduction in at least 2 serum immunoglobulin isotypes  with normal or low number of B cells	CD19 deficiency	CD19	AR	107265	2.61413
III. Predominantly antibody deficiencies	Severe reduction in at least 2 serum immunoglobulin isotypes  with normal or low number of B cells	CD81 deficiency	CD81	AR	186845	0.70276
III. Predominantly antibody deficiencies	Severe reduction in at least 2 serum immunoglobulin isotypes  with normal or low number of B cells	CD20  deficiency	MS4A1	AR	112210	0.92585
III. Predominantly antibody deficiencies	Severe reduction in at least 2 serum immunoglobulin isotypes  with normal or low number of B cells	CD21 deficiency	CR2	AR	614699	15.21947
III. Predominantly antibody deficiencies	Severe reduction in at least 2 serum immunoglobulin isotypes  with normal or low number of B cells	TACI deficiency	TNFRSF13B	AR/AD	604907	5.14551
III. Predominantly antibody deficiencies	Severe reduction in at least 2 serum immunoglobulin isotypes  with normal or low number of B cells	LRBA deficiency	LRBA	AR	606453	13.94798
III. Predominantly antibody deficiencies	Severe reduction in at least 2 serum immunoglobulin isotypes  with normal or low number of B cells	BAFF receptor deficiency	TNFRSF13C	AR	606269	3.16997
III. Predominantly antibody deficiencies	Severe reduction in at least 2 serum immunoglobulin isotypes  with normal or low number of B cells	TWEAK	TNFSF12	AD	602695	NA
III. Predominantly antibody deficiencies	Severe reduction in at least 2 serum immunoglobulin isotypes  with normal or low number of B cells	NFKB2 deficiency	NFKB2	AD	615577	1.70783
III. Predominantly antibody deficiencies	Severe reduction in at least 2 serum immunoglobulin isotypes  with normal or low number of B cells	"WHIM (Warts, Hypogammaglobulinemia, infections, Myelokathexis) syndrome"	CXCR4	AD	193670	0.28802
III. Predominantly antibody deficiencies	Severe reduction in serum IgG and IgA with normal/elevated IgM and normal numbers of B cells	CD40L deficiency	CD40LG	XL	300386	1.34110
III. Predominantly antibody deficiencies	Severe reduction in serum IgG and IgA with normal/elevated IgM and normal numbers of B cells	CD40 deficiency	CD40	AR	109535	1.01750
III. Predominantly antibody deficiencies	Severe reduction in serum IgG and IgA with normal/elevated IgM and normal numbers of B cells	AID deficiency	AICDA 	AR	605257	1.20008
III. Predominantly antibody deficiencies	Severe reduction in serum IgG and IgA with normal/elevated IgM and normal numbers of B cells	UNG deficiency	UNG	AR	191525	1.20535
III. Predominantly antibody deficiencies	Isotype or light chain deficiencies with generally normal numbers of B cells	? chain deficiency	IGKC	AR	147200	NA
III. Predominantly antibody deficiencies	Isotype or light chain deficiencies with generally normal numbers of B cells	PRKC ?	PRKCD	AR	615559	1.13875
III. Predominantly antibody deficiencies	Isotype or light chain deficiencies with generally normal numbers of B cells	Activated PI3K-?	PIK3CD	AD	602839	3.55263
IV. Diseases of Immune Dysregulation	Familial hemophagocytic lymphohistiocytosis (FHL) syndrome without hypopigmentation	Perforin deficiency  (FHL2)	PRF1	AR	603553	3.47879
IV. Diseases of Immune Dysregulation	Familial hemophagocytic lymphohistiocytosis (FHL) syndrome without hypopigmentation	UNC13D / Munc13-4  deficiency (FHL3)	UNC13D	AR	608898	7.80779
IV. Diseases of Immune Dysregulation	Familial hemophagocytic lymphohistiocytosis (FHL) syndrome without hypopigmentation	"Syntaxin 11 deficiency,  (FHL4) "	STX11	AR	603552	4.53989
IV. Diseases of Immune Dysregulation	Familial hemophagocytic lymphohistiocytosis (FHL) syndrome without hypopigmentation	STXBP2 / Munc18-2 deficiency (FHL5)	STXBP2	AR	613101	3.70158
IV. Diseases of Immune Dysregulation	FHL syndromes with hypopigmentation	Chediak-Higashi syndrome	LYST	AR	214500	7.39996
IV. Diseases of Immune Dysregulation	FHL syndromes with hypopigmentation	"Griscelli  syndrome, type2"	RAB27A 	AR	607624	1.13154
IV. Diseases of Immune Dysregulation	FHL syndromes with hypopigmentation	"Hermansky-Pudlak syndrome, type 2"	AP3B1	AR	608233	4.90676
IV. Diseases of Immune Dysregulation	Lymphoproliferative syndromes	SH2D1A deficiency (XLP1)	SH2D1A	XL	308240	0.04688
IV. Diseases of Immune Dysregulation	Lymphoproliferative syndromes	XIAP deficiency (XLP2)	XIAP	XL	300635	6.43257
IV. Diseases of Immune Dysregulation	Lymphoproliferative syndromes	ITK deficiency	ITK	AR	613011	1.53970
IV. Diseases of Immune Dysregulation	Lymphoproliferative syndromes	CD27 deficiency	CD27	AR	615122	6.40434
IV. Diseases of Immune Dysregulation	Genetic defects of regulatory T cells	"(a) IPEX, immune dysregulation, polyendocrinopathy, enteropathy X-linked"	FOXP3	XL	304790	1.22709
IV. Diseases of Immune Dysregulation	Genetic defects of regulatory T cells	CD25 deficiency	IL2RA	AR	606367	0.34222
IV. Diseases of Immune Dysregulation	Genetic defects of regulatory T cells	STAT5b deficiency	STAT5B	AR	245590	1.31577
IV. Diseases of Immune Dysregulation	Autoimmunity without lymphoproliferation	"APECED (APS-1),  autoimmune polyendocrinopathy with candidiasis and ectodermal dystrophy"	AIRE	AR	240300	3.17827
IV. Diseases of Immune Dysregulation	Autoimmunity without lymphoproliferation	ITCH deficiency	ITCH	AR	613385	1.18051
IV. Diseases of Immune Dysregulation	Autoimmune lymphoproliferative syndrome (ALPS )	ALPS-FAS	FAS	AR/AD	601859	2.33810
IV. Diseases of Immune Dysregulation	Autoimmune lymphoproliferative syndrome (ALPS )	ALPS-FASLG	FASLG	AR	134638	0.92915
IV. Diseases of Immune Dysregulation	Autoimmune lymphoproliferative syndrome (ALPS )	ALPS-Caspase10	CASP10	AD	603909	5.01039
IV. Diseases of Immune Dysregulation	Autoimmune lymphoproliferative syndrome (ALPS )	ALPS-Caspase 8	CASP8	AR	607271	2.11059
IV. Diseases of Immune Dysregulation	Autoimmune lymphoproliferative syndrome (ALPS )	FADD deficiency	FADD	AR	613759	0.19483
IV. Diseases of Immune Dysregulation	Autoimmune lymphoproliferative syndrome (ALPS )	CARD11 gain of function (GOF) mutations	CARD11	AD	606445	2.86659
IV. Diseases of Immune Dysregulation	Autoimmune lymphoproliferative syndrome (ALPS )	PRKCdelta deficiency	PRKCD	AR	615559	1.13875
IV. Diseases of Immune Dysregulation	Immune dysregulation with colitis	IL-10 deficiency	IL10	AR	not assigned	0.21135
IV. Diseases of Immune Dysregulation	Immune dysregulation with colitis	IL-10R? deficiency	IL10RA	AR	613148	4.86232
IV. Diseases of Immune Dysregulation	Immune dysregulation with colitis	IL-10R? deficiency	IL10RB	AR	612567	10.33886
IV. Diseases of Immune Dysregulation	Type 1 Interferonopathies	"TREX1 deficiency, Aicardi-Goutieres syndrome 1 (AGS1)"	TREX1	AR/AD	606609	0.94817
IV. Diseases of Immune Dysregulation	Type 1 Interferonopathies	"RNASEH2B deficiency, AGS2"	RNASEH2B	AR	610326	3.42276
IV. Diseases of Immune Dysregulation	Type 1 Interferonopathies	"RNASEH2C deficiency, AGS3"	RNASEH2C	AR	610330	2.82129
IV. Diseases of Immune Dysregulation	Type 1 Interferonopathies	"RNASEH2A deficienc y, AGS4"	RNASEH2A	AR	606034	3.31139
IV. Diseases of Immune Dysregulation	Type 1 Interferonopathies	"SAMHD1 deficiency , AGS5"	SAMHD1	AR	612952	0.57187
IV. Diseases of Immune Dysregulation	Type 1 Interferonopathies	"ADAR1 deficiency , AGS6"	ADAR	AR	615010	1.87521
IV. Diseases of Immune Dysregulation	Type 1 Interferonopathies	Spondyloenchondro-dysplasia with immune dysregulation (SPENCD)	ACP5	AR	607944	5.81715
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Defects of Neutrophil function	Severe congenital neutropenia 1 (ELANE deficiency)	ELANE	AD	202700	1.69633
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Defects of Neutrophil function	Cyclic neutropenia	ELANE	AD	162800	1.69633
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Defects of Neutrophil function	SCN2 (GFI 1 deficiency)	GFI1	AD	613107	3.10367
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Defects of Neutrophil function	SCN3 (Kostmann Disease)	HAX1	AR	610738	0.88754
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Defects of Neutrophil function	SCN4 (G6PC3 deficiency)	G6PC3	AR	612541	3.15387
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Defects of Neutrophil function	SCN5	VPS45	AR	615285	3.91449
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Defects of Neutrophil function	Glycogen storage disease  type 1b	SLC37A4	AR	232220	2.40713
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Defects of Neutrophil function	X-linked neutropenia/myelodysplasia	WAS	XL	300299	1.13817
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Defects of Neutrophil function	P14/LAMTOR2 deficiency 	LAMTOR2	AR	610389	0.09609
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Defects of Neutrophil function	Barth Syndrome	TAZ	XL	302060	0.45960
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Defects of Neutrophil function	Cohen syndrome	VPS13B	AR	216550	15.59736
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Defects of Neutrophil function	Clericuzio syndrome Poikiloderma with neutropenia	USB1	AR	613276	4.15800
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Defects of Motility	Leukocyte adhesion deficiency type 1 (LAD1)	ITGB2	AR	116920	2.32291
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Defects of Motility	Leukocyte adhesion deficiency   type 2 (LAD2)	SLC35C1	AR	266265	5.51199
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Defects of Motility	Leukocyte adhesion deficiency  type 3 (LAD3)	FERMT3	AR	612840	2.50959
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Defects of Motility	Rac 2 deficiency	RAC2	AD	602049	0.16451
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Defects of Motility	?-actin deficiency	ACTB	AD	102630	0.06330
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Defects of Motility	Localized juvenile Periodontitis	FPR1	AR	136537	7.66928
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Defects of Motility	Papillon-Lefèvre Syndrome	CTSC	AR	245000	4.87049
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Defects of Motility	Specific granule deficiency	CEBPE	AR	245480	1.07343
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Defects of Motility	Shwachman-Diamond Syndrome	SBDS	AR	260400	2.88683
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Defects of Respiratory Burst	X-linked chronic granulomatous   disease (CGD)	CYBB	XL	306400	1.12290
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Defects of Respiratory Burst	Autosomal recessive CGD – p22 phox deficiency	CYBA	AR	233690	4.15974
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Defects of Respiratory Burst	Autosomal recessive CGD – p47 phox deficiency	NCF1	AR	233700	1.23387
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Defects of Respiratory Burst	Autosomal recessive CGD – p67 phox deficiency	NCF2	AR	233710	13.42911
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Defects of Respiratory Burst	Autosomal recessive CGD – p40 phox deficiency	NCF4	AR	601488	1.45383
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Mendelian susceptibility to Mycobacterial Disease (MSMD)	IL-12 and IL-23 receptor b1 chain deficiency	IL12RB1	AR	209950	3.78996
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Mendelian susceptibility to Mycobacterial Disease (MSMD)	IL-12p40 deficiency	IL12B	AR	161561	2.67291
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Mendelian susceptibility to Mycobacterial Disease (MSMD)	IFN-? receptor 1 deficiency	IFNGR1	AR/AD	107470	4.32908
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Mendelian susceptibility to Mycobacterial Disease (MSMD)	IFN-? receptor 2 deficiency	IFNGR2	AR	147569	3.96123
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Mendelian susceptibility to Mycobacterial Disease (MSMD)	STAT1 deficiency (AD form)	STAT1	AD	600555	0.73972
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Mendelian susceptibility to Mycobacterial Disease (MSMD)	Macrophage gp91 phox deficiency	CYBB	XL	306400	1.12290
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Mendelian susceptibility to Mycobacterial Disease (MSMD)	IRF8-deficiency (AD form)	IRF8	AD	601565	1.26169
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Mendelian susceptibility to Mycobacterial Disease (MSMD)	ISG15	ISG15	AR	14751	6.95277
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Other Defects	IRF 8-deficiency (AR form)	IRF8	AR	614893	1.26169
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Other Defects	GATA2 deficiency (Mono MAC Syndrome)	GATA2	AD	137295	8.75850
"V.Congenital Defects of Phagocyte Number, Function, or Both"	Other Defects	Pulmonary alveolar proteinosis	CSF2RA	Biallelic mutations in pseudoautosomal gene	306250	5.63621
VI. Defects in Innate Immunity	Anhidrotic ectodermaldysplasia withimmunodeficiency(EDA-ID)	"EDA-ID, X-linked (NEMO deficiency)"	IKBKG	XL	300248	0.09337
VI. Defects in Innate Immunity	Anhidrotic ectodermaldysplasia withimmunodeficiency(EDA-ID)	"EDA-ID,autosomal-dominant"	NFKBIA	AD	612132	0.89545
VI. Defects in Innate Immunity	TIR signaling pathway deficiency	IRAK-4 deficiency	IRAK4	AR	607676	5.19884
VI. Defects in Innate Immunity	TIR signaling pathway deficiency	MyD88 deficiency	MYD88	AR	612260	0.84849
VI. Defects in Innate Immunity	HOIL1 deficiency	NA	RBCK1	AR	Not assigned	0.61540
VI. Defects in Innate Immunity	"""WHIM (Warts, Hypogammaglobulinemia,  Infections, Myelokathexis) syndrome"""	NA	CXCR4	AD	193670	0.28802
VI. Defects in Innate Immunity	Epidermodysplasia verruciformis	EVER1 deficiency	TMC6	AR	226400	12.75965
VI. Defects in Innate Immunity	Epidermodysplasia verruciformis	EVER2 deficiency	TMC8	AR	226400	4.97185
VI. Defects in Innate Immunity	Predisposition to severe viral infection	STAT2 deficiency	STAT2	AR	Not assigned	4.98513
VI. Defects in Innate Immunity	Predisposition to severe viral infection	MCM4 deficiency	MCM4	AR	609981	2.23027
VI. Defects in Innate Immunity	Herpes simplex encephalitis (HSE)	TLR3 deficiency	TLR3	AR/AD	613002	9.63966
VI. Defects in Innate Immunity	Herpes simplex encephalitis (HSE)	UNC93B1 deficiency	UNC93B1	AR	610551	2.66921
VI. Defects in Innate Immunity	Herpes simplex encephalitis (HSE)	TRAF3 deficiency	TRAF3	AD	614849	8.81729
VI. Defects in Innate Immunity	Herpes simplex encephalitis (HSE)	TRIF deficiency	TICAM1	AR/AD	614850	6.88939
VI. Defects in Innate Immunity	Herpes simplex encephalitis (HSE)	TBK1 deficiency	TBK1	AD	Not assigned	2.07750
VI. Defects in Innate Immunity	Predisposition to invasive fungal diseases	CARD9 deficiency 	CARD9	AR	212050	7.21015
VI. Defects in Innate Immunity	Chronic mucocutaneous candidiasis (CMC)	IL-17RA deficiency	IL17RA	AR	605461	10.96810
VI. Defects in Innate Immunity	Chronic mucocutaneous candidiasis (CMC)	IL-17F deficiency	IL17F	AD	606496	4.72703
